epoch,accuracy,learning_rate,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.6651705503463745,0.0010000000474974513,1.0507081747055054,0.9238452315330505,0.6414701342582703,1.3650599718093872,0.8414701223373413
1,0.78125,0.0010000000474974513,0.948512077331543,0.90625,0.639661967754364,1.376833200454712,0.8409984111785889
2,0.775886595249176,0.0010000000474974513,0.6816539764404297,0.9717636108398438,0.6439858675003052,1.3065805435180664,0.8375785946846008
3,0.8125,0.0010000000474974513,0.4532454013824463,1.0,0.6427673101425171,1.313917875289917,0.83620285987854
4,0.7959025502204895,0.0010000000474974513,0.6187353730201721,0.9760555624961853,0.6349056363105774,1.388291358947754,0.8315251469612122
5,0.875,0.0010000000474974513,0.4720221161842346,1.0,0.6350235939025879,1.3871495723724365,0.8323899507522583
6,0.8095247745513916,0.0010000000474974513,0.5714966654777527,0.9803376793861389,0.6498427391052246,1.3798197507858276,0.834709107875824
7,0.75,0.0010000000474974513,0.6294400691986084,1.0,0.6488207578659058,1.3875972032546997,0.8345125913619995
8,0.8404816389083862,0.0005000000237487257,0.48058411478996277,0.9846295714378357,0.6639937162399292,1.318898320198059,0.840330183506012
9,0.78125,0.0005000000237487257,0.47656387090682983,0.96875,0.6633254885673523,1.3213059902191162,0.8401729464530945
10,0.8436048030853271,0.0005000000237487257,0.46811822056770325,0.985297441482544,0.6670597195625305,1.299788236618042,0.8439465165138245
11,0.875,0.0005000000237487257,0.381104052066803,1.0,0.6672955751419067,1.300193190574646,0.844064474105835
12,0.8496056795120239,0.0005000000237487257,0.44845521450042725,0.9866135120391846,0.6585691571235657,1.351313591003418,0.8361635208129883
13,0.90625,0.0005000000237487257,0.31536543369293213,1.0,0.6595125794410706,1.3481411933898926,0.836556613445282
14,0.8531904816627502,0.0005000000237487257,0.43964970111846924,0.9873206615447998,0.6675707697868347,1.3174693584442139,0.8442609906196594
15,1.0,0.0005000000237487257,0.15012195706367493,1.0,0.6679245233535767,1.3197336196899414,0.8438678979873657
16,0.8639939427375793,0.0002500000118743628,0.4011300802230835,0.9890099167823792,0.6648585200309753,1.361802577972412,0.8373820781707764
17,0.8125,0.0002500000118743628,0.49901434779167175,0.96875,0.6649764180183411,1.3614733219146729,0.8371069431304932
18,0.8675787448883057,0.0002500000118743628,0.39403036236763,0.9892259836196899,0.6707940101623535,1.3043086528778076,0.8443789482116699
19,0.9375,0.0002500000118743628,0.2915348708629608,1.0,0.6706761121749878,1.303285002708435,0.8444968461990356
20,0.8707805275917053,0.0002500000118743628,0.38723814487457275,0.9898349046707153,0.6702044010162354,1.3366597890853882,0.8408805131912231
21,0.875,0.0001250000059371814,0.44630420207977295,0.96875,0.6702044010162354,1.3367724418640137,0.8409591317176819
22,0.8754849433898926,0.0001250000059371814,0.371390163898468,0.9908268451690674,0.6679245233535767,1.3414520025253296,0.8395833373069763
23,0.84375,0.0001250000059371814,0.3566967844963074,1.0,0.6680817604064941,1.3420987129211426,0.8396619558334351
24,0.8779599070549011,0.0001250000059371814,0.35997632145881653,0.9909054040908813,0.6720519065856934,1.316571831703186,0.8418238759040833
25,0.8125,0.0001250000059371814,0.5428613424301147,1.0,0.6720911860466003,1.316083312034607,0.8417059779167175
26,0.879983127117157,6.25000029685907e-05,0.35751664638519287,0.9908956289291382,0.6702044010162354,1.328400731086731,0.8413915038108826
27,0.8125,6.25000029685907e-05,0.43757954239845276,0.9375,0.6701651215553284,1.328142523765564,0.8413915038108826
28,0.8822911381721497,6.25000029685907e-05,0.35143575072288513,0.9914063215255737,0.6699685454368591,1.3529843091964722,0.8394261002540588
29,0.875,6.25000029685907e-05,0.4279365539550781,0.96875,0.6700078845024109,1.3531956672668457,0.8395833373069763
